metric,rows
total_rows,52478
analysis_rows_after_scope_and_book_id_dedupe,37289
work_level_rows_after_title_author_year_dedupe,36765
rows_removed_by_book_id_dedupe_in_scope,38
rows_removed_by_work_level_dedupe,524
first_publish_year_present,51928
first_publish_year_missing_after_cleaning,550
used_publishDate_fallback,21069
two_digit_year_inferred,28968
in_project_scope_1997_2024,37327
blank_title_clean,0
blank_primary_author,0
title_clean_changed,1
author_clean_changed,29058
duplicate_title_author_key_rows,1589
genres_missing,4623
has_youth_genre,13590
description_missing,1337
description_short,2323
description_clean_changed,26782
invalid_averageRating,0
invalid_numRatings,0
invalid_bbeVotes,52
invalid_pages,23
invalid_price,12
isbn_missing_or_placeholder,4354
duplicate_clean_isbn_rows,106
