theme,book_count,weighted_book_count,median_first_publish_year,total_num_ratings,median_average_rating
_all_books,37289,37289.0,2011.0,619549913,4.03
_untagged_books,12535,12535.0,2010.0,111264605,4.08
contemporary_realistic,8957,8254.25,2012.0,195131521,3.96
paranormal_supernatural,7527,3194.8357142857144,2011.0,133993823,4.03
horror_dark,6171,3355.2190476190476,2010.0,119917170,4.0
paranormal_romance,4809,1749.2761904761905,2011.0,91622692,4.03
science_fiction,4783,2491.192857142857,2011.0,101446649,3.99
epic_high_fantasy,4066,1779.2690476190476,2011.0,87934933,4.06
middle_grade_fantasy,2085,1151.9857142857143,2008.0,62577935,4.09
dystopian_post_apocalyptic,1960,827.1095238095238,2012.0,60134378,3.98
graphic_manga_comics,1666,1009.6166666666667,2009.0,17902834,4.195
romantasy_fae,1410,528.6761904761905,2012.0,40180311,4.04
mythology_adventure,969,412.56904761904764,2010.0,22996839,4.08
