data_driven_era,primary_author,book_count,weighted_popularity,avg_popularity_score
1997-2008,Erin Hunter,31,223.14172934215688,0.7461413634139449
1997-2008,Jude Watson,32,188.06563250308798,-0.5749279222244544
1997-2008,Darren Shan,26,183.07379601189027,0.5893209086652095
1997-2008,Tamora Pierce,23,166.6617748828076,0.7941851873935069
1997-2008,J.K. Rowling,16,141.59431169347786,2.397665542896414
1997-2008,Cate Tiernan,21,139.7768540661404,0.20406173187025486
1997-2008,Lemony Snicket,18,133.44073262813131,0.9613950969502301
1997-2008,Lynne Ewing,21,128.25175183366213,-0.34475266015252026
1997-2008,CLAMP,18,119.28404135387287,0.17491224838031633
1997-2008,Kathryn Lasky,18,116.85569880795919,0.04000432916288918
1997-2008,Eoin Colfer,16,112.24720051432534,0.5634710941993796
1997-2008,Garth Nix,16,108.71574888238796,0.3427553672032932
2009-2013,Erin Hunter,32,217.52287864188696,0.34561101961301294
2009-2013,Cassandra Clare,25,186.11178951022023,0.9924926424628547
2009-2013,Rick Riordan,20,156.91138434427614,1.3935902792678536
2009-2013,Richelle Mead,18,133.35909074121824,0.95685943656617
2009-2013,Rachel Caine,18,127.06156703095718,0.6069970082183336
2009-2013,Jennifer L. Armentrout,14,108.16602257264837,1.2741655315289298
2009-2013,Pittacus Lore,15,104.00959682105831,0.48199418345793277
2009-2013,L.J. Smith,15,103.04761796073807,0.4178622594365836
2009-2013,Amanda Hocking,14,97.21003205371562,0.4915947801765907
2009-2013,James Patterson,14,96.0783978300914,0.41076376420343236
2009-2013,Alyson Noel,14,95.71617344861895,0.38489059409825555
2009-2013,Rachel Vincent,13,89.7134029417236,0.44905205757124567
2014-2018,Bella Forrest,33,222.02295201478276,0.275989304926251
2014-2018,Cassandra Clare,18,129.48529539992143,0.7416485842719032
2014-2018,Sarah J. Maas,14,111.89373678512386,1.5404308324200369
2014-2018,Rick Riordan,13,98.88340453567709,1.1544367955676675
2014-2018,Kiera Cass,13,92.37216727749554,0.6535723910921634
2014-2018,Tui T. Sutherland,11,79.3617296787142,0.7627237601189727
2014-2018,Marissa Meyer,10,74.09517049762513,0.95753811181656
2014-2018,Jennifer L. Armentrout,10,72.39873910826816,0.787894972880861
2014-2018,Pittacus Lore,9,60.59655175495403,0.280971257048938
2014-2018,Erin Hunter,9,60.27236720951734,0.24495075200041733
2014-2018,Lisa McMann,9,58.676129383193576,0.06759099351999831
2014-2018,Shannon Messenger,8,57.75130867193612,0.7669346460460609
2019-2021,Tahereh Mafi,5,33.07352168619623,0.16272539929329125
2019-2021,Erin Hunter,4,26.341492581047564,0.1333942073159369
2019-2021,Holly Black,3,22.464950384374514,1.0363378568455504
2019-2021,Leigh Bardugo,3,20.57147159566432,0.4051782606088186
2019-2021,Tui T. Sutherland,3,20.29950804302362,0.31452374306192005
2019-2021,Brigid Kemmerer,3,19.9242391413703,0.1894341091774793
2019-2021,Shannon Messenger,3,19.921487488945825,0.18851689170265398
2019-2021,Roshani Chokshi,3,19.051447492849704,-0.10149644032938625
2019-2021,Cassandra Clare,2,14.72706324619288,0.9115526851504863
2019-2021,Kenneth Thomas,2,14.577681655926103,0.8368618900170977
2019-2021,S.A. Chakraborty,2,14.45932267325099,0.7776823986795409
2019-2021,Amie Kaufman,2,14.200838050258493,0.6484400871832918
