word,weighted_share_after,book_mentions,weighted_share_before,era_transition,share_change
love,0.004415373940669092,647.0,0.002302252525922968,1997-2008 to 2009-2013,0.0021131214147461245
family,0.002727142123642905,463.0,0.0019238493636709662,1997-2008 to 2009-2013,0.0008032927599719388
past,0.0018876639544124062,349.0,0.0011623439177106281,1997-2008 to 2009-2013,0.0007253200367017781
never,0.0026859087435692386,491.0,0.0020279460985544928,1997-2008 to 2009-2013,0.0006579626450147458
heart,0.0015943841298917947,301.0,0.0009394641490462975,1997-2008 to 2009-2013,0.0006549199808454972
might,0.00134036674761093,254.0,0.0006950620846981317,1997-2008 to 2009-2013,0.0006453046629127982
secrets,0.0017451751967529872,306.0,0.001100418279401947,1997-2008 to 2009-2013,0.0006447569173510402
knows,0.001983869261587298,385.0,0.0014114887188602496,1997-2008 to 2009-2013,0.0005723805427270484
save,0.0022545013973880013,429.0,0.0016871535185010395,1997-2008 to 2009-2013,0.0005673478788869619
loves,0.0008961368982719455,183.0,0.00032905765568608226,1997-2008 to 2009-2013,0.0005670792425858632
truth,0.001446338365656958,272.0,0.0008813861857908993,1997-2008 to 2009-2013,0.0005649521798660586
romance,0.0008403249734176455,172.0,0.00027945117244614374,1997-2008 to 2009-2013,0.0005608738009715017
protect,0.0009380425738403418,193.0,0.00037822881761955153,1997-2008 to 2009-2013,0.0005598137562207903
dark,0.0024305012093124444,437.0,0.001878927868964065,1997-2008 to 2009-2013,0.0005515733403483793
girl,0.0025931243363027123,455.0,0.002050192859475787,1997-2008 to 2009-2013,0.0005429314768269251
alex,0.0006218550727433049,51.0,8.965552426225045e-05,1997-2008 to 2009-2013,0.0005321995484810544
thought,0.0009203966561642624,188.0,0.00039326543184393985,1997-2008 to 2009-2013,0.0005271312243203226
friends,0.0025211497822671203,460.0,0.0020057347709264684,1997-2008 to 2009-2013,0.0005154150113406519
left,0.0011389213282182922,231.0,0.0006470837643466542,1997-2008 to 2009-2013,0.0004918375638716379
doesn,0.0005834782633733164,110.0,0.00010135009580227986,1997-2008 to 2009-2013,0.0004821281675710366
dead,0.0017500997738384035,286.0,0.0012775750439005694,1997-2008 to 2009-2013,0.0004725247299378341
wants,0.0014577875612514458,277.0,0.0009937107981338972,1997-2008 to 2009-2013,0.00046407676311754865
vampire,0.0018941587886915161,200.0,0.001439371040853931,1997-2008 to 2009-2013,0.00045478774783758516
change,0.0010543280367165098,218.0,0.0006049691462618863,1997-2008 to 2009-2013,0.0004493588904546235
bestselling,0.001368429470250217,242.0,0.0009319149954716853,1997-2008 to 2009-2013,0.00043651447477853174
together,0.0016136320959313586,319.0,0.0011785815460447647,1997-2008 to 2009-2013,0.0004350505498865939
town,0.0013122325149454096,239.0,0.0008786500889567847,1997-2008 to 2009-2013,0.000433582425988625
worse,0.000767499947773562,156.0,0.0003397662619665475,1997-2008 to 2009-2013,0.00042773368580701455
much,0.0011826967912276609,241.0,0.0007556250656593392,1997-2008 to 2009-2013,0.0004270717255683217
angel,0.0008056178150192864,116.0,0.0003861756165793703,1997-2008 to 2009-2013,0.00041944219843991615
isn,0.0005313949104172377,101.0,0.00011870063312790516,1997-2008 to 2009-2013,0.00041269427728933257
everyone,0.0011001646352217754,222.0,0.0006923195565729506,1997-2008 to 2009-2013,0.00040784507864882475
enough,0.0010825353650310557,218.0,0.0006804005759340147,1997-2008 to 2009-2013,0.0004021347890970409
death,0.00203807098422949,345.0,0.0016414009305457619,1997-2008 to 2009-2013,0.00039667005368372804
nothing,0.0012589502108840257,254.0,0.0008624191281237829,1997-2008 to 2009-2013,0.0003965310827602429
something,0.001743231212385363,326.0,0.0013512952849774743,1997-2008 to 2009-2013,0.0003919359274078887
friend,0.0018062485322343131,339.0,0.0014320698631429334,1997-2008 to 2009-2013,0.0003741786690913797
until,0.0016277403749915883,327.0,0.0012539534405740808,1997-2008 to 2009-2013,0.00037378693441750743
know,0.0016485667017068666,315.0,0.001276707972292861,1997-2008 to 2009-2013,0.0003718587294140056
vampires,0.0008351851109023747,127.0,0.0004664694759087734,1997-2008 to 2009-2013,0.00036871563499360136
trust,0.0007987117080412587,162.0,0.00043681015276723104,1997-2008 to 2009-2013,0.00036190155527402763
group,0.0008005017037100529,149.0,0.00043888670959696445,1997-2008 to 2009-2013,0.00036161499411308846
stay,0.0007399589103145568,151.0,0.0003813165085811657,1997-2008 to 2009-2013,0.0003586424017333911
thing,0.0011216489674087215,224.0,0.0007633817212902212,1997-2008 to 2009-2013,0.00035826724611850037
destroy,0.0009504404530783506,186.0,0.0005930206858087091,1997-2008 to 2009-2013,0.0003574197672696416
anything,0.0009871643909669307,189.0,0.0006312685803740787,1997-2008 to 2009-2013,0.000355895810592852
