data_driven_era,keyword,book_mentions,keyword_count,weighted_keyword_count
1997-2008,magic,233,341,2210.0903640669194
1997-2008,school,229,301,1965.4404985915196
1997-2008,love,233,295,1946.3294283296407
1997-2008,vampire,83,177,1216.8474932941426
1997-2008,dragon,80,153,1031.8989018775114
1997-2008,kingdom,91,117,759.8179146206026
1997-2008,realm,52,64,420.25600797739867
1997-2008,ghost,47,64,404.00981988714784
1997-2008,curse,44,56,368.6359394645331
1997-2008,academy,35,51,333.77412238100464
1997-2008,angel,31,50,326.4737289192234
1997-2008,wizard,33,46,318.0343657673885
1997-2008,prophecy,36,42,289.5644605523826
1997-2008,demon,28,41,283.62463516528464
1997-2008,court,29,39,247.53017381919054
1997-2008,space,30,36,226.3676988150215
1997-2008,alien,32,33,208.14606839006765
1997-2008,rebellion,17,20,129.5030300518505
1997-2008,werewolf,13,17,108.7804208310442
1997-2008,mate,11,13,84.26756830623475
1997-2008,robot,5,11,68.01251065953672
1997-2008,apocalypse,8,10,61.62940753192806
1997-2008,district,3,4,25.181157743674593
2009-2013,love,647,975,6222.199447409025
2009-2013,school,413,556,3489.6024691707657
2009-2013,vampire,200,417,2669.2719408755925
2009-2013,magic,266,406,2573.1625117840654
2009-2013,angel,116,178,1135.2865670707517
2009-2013,kingdom,109,149,960.4377425827917
2009-2013,academy,97,135,894.6814956700149
2009-2013,dragon,76,128,808.385714044269
2009-2013,curse,88,124,787.3462526325752
2009-2013,ghost,84,123,783.3406114678456
2009-2013,demon,74,123,782.9546980990233
2009-2013,realm,87,103,646.1917753586773
2009-2013,werewolf,57,93,585.4432409447029
2009-2013,prophecy,63,85,555.2253092010628
2009-2013,space,56,67,392.76257571436497
2009-2013,alien,40,58,360.50209989518964
2009-2013,wizard,37,56,359.55949425137186
2009-2013,court,34,46,300.9924797706601
2009-2013,rebellion,36,43,284.32640825322073
2009-2013,mate,31,43,271.9122593434993
2009-2013,apocalypse,29,31,192.52194934788523
2009-2013,fae,14,27,170.35415581476693
2009-2013,robot,13,14,85.85114231128264
2009-2013,district,6,6,45.988133371888736
2009-2013,dystopia,6,6,37.076774301860816
2014-2018,love,309,420,2703.140020805638
2014-2018,magic,210,360,2339.2098219596205
2014-2018,school,185,248,1569.9271798637358
2014-2018,kingdom,123,175,1138.6570413617612
2014-2018,dragon,42,73,474.8424889539976
2014-2018,academy,43,71,461.10584027123684
2014-2018,court,34,55,378.7563500032369
2014-2018,realm,47,59,366.3842764291695
2014-2018,curse,39,54,351.52071894117
2014-2018,space,38,49,306.8781297146927
2014-2018,rebellion,37,45,289.0325628780063
2014-2018,angel,31,43,269.2606157674294
2014-2018,vampire,33,41,262.3035318189205
2014-2018,ghost,33,40,257.26465937471573
2014-2018,prophecy,25,37,253.613020097408
2014-2018,alien,30,39,248.38058586773437
2014-2018,demon,27,39,244.8767824306473
2014-2018,wizard,18,23,145.89897329916096
2014-2018,apocalypse,14,15,89.30851864252632
2014-2018,fae,7,12,81.98296198693544
2014-2018,robot,7,11,71.37701333429284
2014-2018,district,8,8,50.48595108966299
2014-2018,mate,7,7,46.059638806963115
2014-2018,werewolf,6,7,45.554548053115205
2014-2018,dystopia,2,2,10.482451788261931
2019-2021,magic,33,55,348.4436503794476
2019-2021,love,27,40,266.30914470792345
2019-2021,kingdom,20,29,190.3930293387871
2019-2021,school,11,16,96.67026074271915
2019-2021,curse,5,10,70.0771666071487
2019-2021,ghost,5,9,58.50222852231749
2019-2021,academy,7,9,57.75093384019603
2019-2021,dragon,4,8,49.861878087923486
2019-2021,space,8,8,48.74061607985044
2019-2021,court,5,7,47.70106740144403
2019-2021,demon,4,5,33.73183754849927
2019-2021,prophecy,5,5,32.51749506147294
2019-2021,alien,4,5,31.00738293669854
2019-2021,realm,4,4,25.20742389406092
2019-2021,vampire,3,3,19.743678222239687
2019-2021,rebellion,3,3,18.54673795078997
2019-2021,fae,2,3,17.791637915594965
2019-2021,apocalypse,2,2,11.164733325398576
2019-2021,district,1,1,7.288878574833402
2019-2021,angel,1,1,6.677946668960217
2019-2021,mate,1,1,6.301582105927728
2019-2021,dystopia,1,1,6.2949284150997435
2019-2021,werewolf,1,1,6.255897316383204
