first_publish_year,keyword,book_mentions,keyword_count,weighted_keyword_count
1997,academy,2,2,10.878797808741357
1997,alien,2,2,13.551303612131377
1997,court,1,1,7.21577520545123
1997,curse,5,7,52.661903250517916
1997,demon,1,4,27.818689324945378
1997,dragon,3,3,20.678528772623604
1997,ghost,1,2,12.950998829446238
1997,kingdom,6,6,35.68684462285109
1997,love,14,17,113.8599307262791
1997,magic,11,12,75.00335534411155
1997,prophecy,1,1,7.049750741220529
1997,realm,2,2,15.211185220467396
1997,school,6,7,48.90185788356766
1997,space,2,2,12.500225834745963
1997,vampire,7,13,82.94821347592497
1997,werewolf,1,1,7.171933383014747
1997,wizard,3,3,22.168035984330626
1998,academy,2,2,12.215776538537904
1998,alien,2,2,11.442249618400723
1998,angel,2,3,20.673242735427454
1998,demon,1,1,6.860142367088207
1998,dragon,1,1,6.60563447882978
1998,ghost,3,7,39.599920441054756
1998,kingdom,1,1,6.137087916679786
1998,love,11,12,76.434058921042
1998,magic,9,12,75.57734380288588
1998,prophecy,1,1,5.833828303530869
1998,school,9,11,76.31444049121325
1998,space,1,1,5.822919287882619
1998,vampire,4,6,38.319484215114265
1998,wizard,1,3,20.58042710126462
1999,academy,1,1,6.083083929434524
1999,alien,3,3,21.013313109009573
1999,angel,3,3,18.27381623081079
1999,curse,1,1,6.447412487869807
1999,dragon,2,3,19.701943851709473
1999,ghost,3,5,29.380694631009874
1999,kingdom,2,3,19.720203152672134
1999,love,5,5,32.4026882046624
1999,magic,7,8,55.906332352269516
1999,prophecy,1,1,7.036891138860983
1999,realm,5,5,32.05398518378841
1999,rebellion,3,3,18.246003936900518
1999,school,8,9,57.12968444494857
1999,vampire,2,3,18.736401797757605
1999,wizard,1,1,9.961262073330294
2000,academy,1,1,7.7110898136697505
2000,alien,2,2,12.123694643953508
2000,angel,3,7,42.99183926117169
2000,court,2,3,18.109002247029657
2000,curse,4,4,24.896040250746548
2000,demon,1,1,6.947088690440552
2000,dragon,5,5,31.72489681483299
2000,ghost,2,3,21.477878432644875
2000,kingdom,4,7,46.44097452074151
2000,love,10,12,76.7261530029228
2000,magic,11,15,104.30156772264853
2000,rebellion,1,1,6.6746518673760535
2000,school,11,15,102.77477657195966
2000,vampire,5,16,107.9986262687504
2000,werewolf,1,1,6.062423374384492
2000,wizard,3,5,40.164056576275165
2001,angel,3,6,37.77487585482167
2001,curse,2,4,25.243935606755773
2001,demon,2,2,11.603554072143895
2001,dragon,4,5,35.6393941161707
2001,ghost,3,3,20.30624328333636
2001,kingdom,5,7,46.42985821314717
2001,love,18,20,129.38384278641783
2001,magic,14,23,149.23609481613906
2001,mate,1,1,6.727037970661663
2001,prophecy,1,1,6.3190308530051285
2001,realm,4,4,29.06664555282202
2001,robot,1,1,5.517255588822783
2001,school,6,10,69.53669791964394
2001,space,3,4,23.545521194729876
2001,vampire,3,8,57.877784752811515
2001,wizard,3,3,20.778012401204663
2002,academy,1,2,13.466969001770655
2002,alien,6,6,37.06779163530828
2002,angel,1,1,5.510013003788301
2002,court,3,3,18.770272920013397
2002,curse,3,3,19.14982775812781
2002,demon,4,4,25.42695688175802
2002,dragon,4,7,56.793442798621676
2002,kingdom,3,3,19.52852477810191
2002,love,13,18,116.19534308775219
2002,magic,19,27,178.2280764015791
2002,prophecy,1,2,12.051705373123902
2002,realm,5,6,39.163851999873295
2002,school,14,22,145.6836523325544
2002,space,2,2,12.32546494369894
2002,vampire,5,9,63.38558503904439
2002,wizard,1,1,5.77627799548002
2003,academy,2,3,19.194934873386032
2003,alien,2,2,11.951784945457646
2003,angel,3,3,18.641161490332607
2003,apocalypse,1,1,5.985026011909239
2003,court,3,3,19.561990053131076
2003,demon,3,4,23.867213003343178
2003,district,1,2,12.918896996769732
2003,dragon,12,35,232.3192208291554
2003,ghost,2,2,11.866275700439886
2003,kingdom,12,14,93.57541787351946
2003,love,26,26,168.604418783914
2003,magic,18,36,237.03527637253097
2003,prophecy,1,1,7.6199474942237595
2003,realm,5,6,39.30539780425011
2003,rebellion,1,1,6.4795445784131
2003,school,25,35,222.97500660737776
2003,space,3,3,19.21656049750723
2003,vampire,3,4,27.657912880157937
2003,werewolf,2,3,17.774637593152306
2003,wizard,2,3,18.317901943515682
2004,academy,3,4,26.004958401873644
2004,alien,2,2,12.995599743678635
2004,angel,2,3,18.823947741611914
2004,apocalypse,2,3,17.623472227504813
2004,court,2,3,17.165573981319433
2004,curse,1,1,6.648897822635695
2004,district,1,1,6.355815814032282
2004,dragon,7,23,147.0720759000405
2004,ghost,2,3,17.860431975956132
2004,kingdom,10,15,99.61957879716535
2004,love,14,20,132.97984673353415
2004,magic,18,21,135.2417368970705
2004,prophecy,4,6,42.5172085742973
2004,realm,4,4,25.560545415688644
2004,rebellion,1,2,15.530341546643639
2004,robot,1,2,12.98599550815955
2004,school,22,32,205.59489409014844
2004,vampire,3,8,52.38833331148454
2004,werewolf,3,6,36.08056108757357
2004,wizard,3,4,25.386512862485876
2005,academy,5,9,63.63814337377707
2005,alien,3,3,19.023111219876192
2005,angel,4,7,48.593980709138464
2005,apocalypse,2,3,18.23637689656049
2005,court,2,2,12.81268424318554
2005,curse,4,6,37.70024490012562
2005,demon,3,4,26.147921698630377
2005,dragon,9,20,141.05132010232714
2005,ghost,10,11,69.10519691518067
2005,kingdom,11,12,75.92036908160424
2005,love,15,19,134.025643443595
2005,magic,26,41,260.71469812089714
2005,mate,2,2,13.688922774414403
2005,prophecy,6,7,48.82973206199784
2005,realm,6,7,45.92112228290017
2005,school,30,34,221.52807495470876
2005,space,5,5,32.528568936886685
2005,vampire,8,15,107.80662430358912
2005,werewolf,1,1,7.424445151401597
2005,wizard,2,3,19.379437153458053
2006,academy,3,5,30.322113221519235
2006,alien,2,2,11.964572189898433
2006,angel,3,7,42.49938568304346
2006,apocalypse,1,1,6.181579584743538
2006,court,2,3,20.44033106288381
2006,curse,3,4,27.167352811971373
2006,demon,3,10,74.04945580473239
2006,dragon,11,17,112.57313020655816
2006,ghost,5,7,45.59013543169742
2006,kingdom,10,12,80.59086312596847
2006,love,17,26,180.60889691954094
2006,magic,28,36,233.64740324822023
2006,mate,3,3,18.60126874858401
2006,prophecy,4,5,35.745846971806074
2006,realm,9,16,105.14640687107689
2006,rebellion,4,6,40.07543620507499
2006,robot,1,1,5.49454384863567
2006,school,24,35,221.63932992532744
