data_driven_era,book_share,rating_share,bbe_vote_share,series_flag,title_clean,primary_author
1997-2008,0.0005042864346949068,0.08198817769466187,0.052343638694970794,blockbuster_franchise,Harry Potter and the Sorcerer's Stone,J.K. Rowling
1997-2008,0.0010085728693898135,0.15616321108272088,0.2697250320558484,blockbuster_franchise,The Hunger Games,Suzanne Collins
1997-2008,0.0015128593040847202,0.21391075178204774,0.37568029633850974,blockbuster_franchise,Twilight,Stephenie Meyer
1997-2008,0.002017145738779627,0.24661585817588635,0.40299900270693834,blockbuster_franchise,Harry Potter and the Deathly Hallows,J.K. Rowling
1997-2008,0.0025214321734745334,0.2792608733916566,0.42273115828465596,blockbuster_franchise,Harry Potter and the Prisoner of Azkaban,J.K. Rowling
1997-2008,0.0030257186081694403,0.3109680660869888,0.4338937170537114,blockbuster_franchise,Harry Potter and the Chamber of Secrets,J.K. Rowling
1997-2008,0.0035300050428643467,0.3411488428237419,0.448489813363727,blockbuster_franchise,Harry Potter and the Goblet of Fire,J.K. Rowling
1997-2008,0.004034291477559254,0.37031764271172063,0.6402763926485254,blockbuster_franchise,Harry Potter and the Order of the Phoenix,J.K. Rowling
1997-2008,0.0045385779122541605,0.39867260611623967,0.6537327254594671,blockbuster_franchise,Harry Potter and the Half-Blood Prince,J.K. Rowling
1997-2008,0.005042864346949067,0.42184714232715337,0.6991095597663485,blockbuster_franchise,The Lightning Thief,Rick Riordan
1997-2008,0.005547150781643974,0.4406615785126603,0.75325544949423,blockbuster_franchise,City of Bones,Cassandra Clare
1997-2008,0.006051437216338881,0.4577169111813072,0.7536757372845134,blockbuster_franchise,New Moon,Stephenie Meyer
1997-2008,0.006555723651033787,0.474433611566577,0.7654722894999287,blockbuster_franchise,Eragon,Christopher Paolini
1997-2008,0.0070600100857286935,0.4910038295272602,0.7659709360307736,blockbuster_franchise,Eclipse,Stephenie Meyer
1997-2008,0.007564296520423601,0.5064043749169326,0.7664624590397493,blockbuster_franchise,Breaking Dawn,Stephenie Meyer
1997-2008,0.008068582955118508,0.5168143863537983,0.7684000569881749,series,The Host,Stephenie Meyer
1997-2008,0.008572869389813415,0.5255226402877174,0.7756019375979484,blockbuster_franchise,The Sea of Monsters,Rick Riordan
1997-2008,0.009077155824508321,0.5342022444787827,0.7767060834876763,blockbuster_franchise,City of Ashes,Cassandra Clare
1997-2008,0.009581442259203227,0.5428244095995226,0.7840789286223109,blockbuster_franchise,The Battle of the Labyrinth,Rick Riordan
1997-2008,0.010085728693898134,0.5508073353298741,0.7913235503632996,blockbuster_franchise,The Titan's Curse,Rick Riordan
1997-2008,0.01059001512859304,0.5573233197809853,0.796103433537541,blockbuster_franchise,Uglies,Scott Westerfeld
1997-2008,0.011094301563287948,0.5637088391424303,0.8173742698390084,blockbuster_franchise,Vampire Academy,Richelle Mead
1997-2008,0.011598587997982855,0.5694781854716189,0.8195398204872489,blockbuster_franchise,Artemis Fowl,Eoin Colfer
1997-2008,0.012102874432677761,0.5750795649770933,0.8213634420857672,standalone,Coraline,Neil Gaiman
1997-2008,0.012607160867372668,0.5801956320297286,0.8229448639407323,series,World War Z: An Oral History of the Zombie War,Max Brooks
1997-2008,0.013111447302067574,0.5852869926049697,0.8259509901695398,standalone,The Graveyard Book,Neil Gaiman
1997-2008,0.01361573373676248,0.5902895657310829,0.8303248325972361,blockbuster_franchise,Marked,P.C. Cast
1997-2008,0.014120020171457387,0.5950187507507035,0.8326827183359453,blockbuster_franchise,The Tales of Beedle the Bard,J.K. Rowling
1997-2008,0.014624306606152295,0.5996923229320847,0.8351759509901695,series,The Final Empire,Brandon Sanderson
1997-2008,0.015128593040847202,0.6043192505869359,0.836600655364012,blockbuster_franchise,The Bad Beginning,Lemony Snicket
1997-2008,0.015632879475542108,0.6088194703047567,0.8414446502350762,blockbuster_franchise,Ella Enchanted,Gail Carson Levine
1997-2008,0.016137165910237016,0.6132946345836385,0.8450847699102436,blockbuster_franchise,Graceling,Kristin Cashore
1997-2008,0.01664145234493192,0.6175921425399036,0.8492021655506482,blockbuster_franchise,Inkheart,Cornelia Funke
1997-2008,0.01714573877962683,0.621850450482601,0.8516669041173957,blockbuster_franchise,The Subtle Knife,Philip Pullman
1997-2008,0.017650025214321734,0.6259807942267057,0.8545448069525573,blockbuster_franchise,Eldest,Christopher Paolini
1997-2008,0.018154311649016642,0.6298204646357833,0.8550505770052714,blockbuster_franchise,Fantastic Beasts and Where to Find Them,Newt Scamander
1997-2008,0.018658598083711547,0.6336048246399607,0.8633850975922496,blockbuster_franchise,Shadow Kiss,Richelle Mead
1997-2008,0.019162884518406455,0.6372038744316318,0.8710500071235219,blockbuster_franchise,Frostbite,Richelle Mead
1997-2008,0.019667170953101363,0.6406829628761448,0.8738210571306454,blockbuster_franchise,Brisingr,Christopher Paolini
1997-2008,0.020171457387796268,0.6441521059166221,0.8764068955691694,blockbuster_franchise,The Amber Spyglass,Philip Pullman
1997-2008,0.020675743822491176,0.6474721144247698,0.8770195184499217,series,The Well of Ascension,Brandon Sanderson
1997-2008,0.02118003025718608,0.6504005531831469,0.8793132924918079,blockbuster_franchise,Harry Potter Series Box Set,J.K. Rowling
1997-2008,0.02168431669188099,0.6532672955403482,0.8801467445505058,series,The City of Ember,Jeanne DuPrau
1997-2008,0.022188603126575897,0.6560596509281831,0.8821484541957544,series,Betrayed,P.C. Cast
1997-2008,0.0226928895612708,0.6587392219446375,0.8833523293916512,series,Pretties,Scott Westerfeld
1997-2008,0.02319717599596571,0.6613223050938685,0.8851545804245619,series,Chosen,P.C. Cast
1997-2008,0.023701462430660614,0.663806550701472,0.8870779313292492,series,Untamed,P.C. Cast
1997-2008,0.024205748865355523,0.6662240167013926,0.8886237355748682,series,A Great and Terrible Beauty,Libba Bray
1997-2008,0.024710035300050427,0.668634503470411,0.8888303177090754,series,The Tale of Peter Rabbit,Beatrix Potter
1997-2008,0.025214321734745335,0.6710362662008015,0.8898632283801111,standalone,Because of Winn-Dixie,Kate DiCamillo
1997-2008,0.025718608169440244,0.6734298050707789,0.8920145319846132,series,The Angel Experiment,James Patterson
1997-2008,0.026222894604135148,0.6756665438864857,0.8922923493375124,series,"Death Note, Vol. 1: Boredom",Tsugumi Ohba
1997-2008,0.026727181038830056,0.677896617536681,0.8936956831457472,series,Unwind,Neal Shusterman
1997-2008,0.02723146747352496,0.6800820124770502,0.9003632996153298,blockbuster_franchise,The Hunger Games Trilogy Boxset,Suzanne Collins
1997-2008,0.02773575390821987,0.6822183201600738,0.9006553640119676,series,The Reptile Room,Lemony Snicket
1997-2008,0.028240040342914774,0.6843012018305406,0.901745262857957,series,Gone,Michael Grant
1997-2008,0.028744326777609682,0.6862791391323406,0.9024576150448782,series,Beastly,Alex Flinn
1997-2008,0.02924861321230459,0.688239535300473,0.9033409317566605,series,Specials,Scott Westerfeld
1997-2008,0.029752899646999495,0.6901344430186392,0.9042100014247044,standalone,The Invention of Hugo Cabret,Brian Selznick
1997-2008,0.030257186081694403,0.692016939337851,0.9047870066961106,standalone,The Tale of Despereaux,Kate DiCamillo
1997-2008,0.030761472516389308,0.6938853957708978,0.9051289357458328,series,Gathering Blue,Lois Lowry
1997-2008,0.031265758951084216,0.6957454538627589,0.9053426414019091,series,The Wide Window,Lemony Snicket
1997-2008,0.03177004538577912,0.6975430362059933,0.9068884456475281,series,The Summoning,Kelley Armstrong
1997-2008,0.03227433182047403,0.6993312431157157,0.9078145034905257,series,Ender's Shadow,Orson Scott Card
1997-2008,0.03277861825516894,0.7010950343493317,0.9088759082490383,series,The Knife of Never Letting Go,Patrick Ness
1997-2008,0.03328290468986384,0.7028278494297934,0.9090682433395071,blockbuster_franchise,The Lost Colony,Eoin Colfer
1997-2008,0.033787191124558746,0.7045293975558129,0.9131500213705656,standalone,Midnight Sun [2008 Draft],Stephenie Meyer
1997-2008,0.03429147755925366,0.7062308642574718,0.9132070095455193,series,"Bleach, Volume 01",Tite Kubo
1997-2008,0.03479576399394856,0.7079253866243831,0.913634420857672,series,Quidditch Through the Ages,Kennilworthy Whisp
1997-2008,0.03530005042864347,0.7095960400216086,0.919240632568742,blockbuster_franchise,His Dark Materials,Philip Pullman
1997-2008,0.03580433686333838,0.7112486521069519,0.9203946431115544,series,Poison Study,Maria V. Snyder
1997-2008,0.036308623298033284,0.7128917491741651,0.9209004131642684,series,The Alchemyst,Michael Scott
1997-2008,0.03681290973272819,0.714526180363008,0.9210927482547372,series,The Miserable Mill,Lemony Snicket
1997-2008,0.03731719616742309,0.7161473859092911,0.9212850833452059,blockbuster_franchise,The Arctic Incident,Eoin Colfer
1997-2008,0.037821482602118005,0.7177094308416262,0.922025929619604,series,Fablehaven,Brandon Mull
1997-2008,0.03832576903681291,0.7192559586172552,0.9222182647100726,series,The Austere Academy,Lemony Snicket
1997-2008,0.038830055471507814,0.7207955885863426,0.9229306168969938,series,Blue Bloods,Melissa de la Cruz
1997-2008,0.039334341906202726,0.7223233422308446,0.9242912095740133,series,The Goose Girl,Shannon Hale
1997-2008,0.03983862834089763,0.723808778471976,0.9244194329676592,blockbuster_franchise,The Opal Deception,Eoin Colfer
1997-2008,0.040342914775592535,0.7252561313764841,0.9250605499358883,series,The Ruins of Gorlan,John Flanagan
1997-2008,0.04084720121028744,0.7266920848705186,0.9252813791138339,blockbuster_franchise,The Eternity Code,Eoin Colfer
1997-2008,0.04135148764498235,0.7281248395503895,0.9258441373415016,series,The Mysterious Benedict Society,Trenton Lee Stewart
1997-2008,0.041855774079677256,0.7295396459747903,0.9260792135631857,series,The Ersatz Elevator,Lemony Snicket
1997-2008,0.04236006051437216,0.7309452165502969,0.9262359310443083,series,"Fullmetal Alchemist, Vol. 1",Hiromu Arakawa
1997-2008,0.04286434694906707,0.732330500827981,0.9263570309160849,series,The Vile Village,Lemony Snicket
